Titre,URL,Note,Pseudo,Avis
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"3,0",Ufuk K,"""La Malédiction : L'Origine"" est un film d'épouvante américain qui se regarde. En effet le film revient sur les origines de Damien (l'Antéchrist) par ailleurs un film a été consacré à celui-ci en 1976, même si j'aurais aimé plus effet horrifique et que l'histoire est trop classique à mon goût, le scénario comporte quelques qualités laissant planer le mystère et l'intérêt de bout en bout avec quelques séquences horrifiques qui font son effet par ses fulgurances."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"5,0",Baby B,"Ce film est le meilleur film d'horreur que j'ai vu depuis Conjuring 2. La photographie est magnifique, l'actrice principale est habité par le rôle, les musiques sont glaçantes et le film ose être aussi brutal que frontal. Les 2h passent à une vitesse folle et le récit ne nous laisse pas respirer. Pour les fans de film d'horreur, ce 1er long métrage de la réalisatrice est un bijou. Enfin le film sur les nonnes que nous méritons !"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"3,0",selenie,"Evidemment d'emblée on pense fortement au tout récent ""Immaculée"" (2024) de Michael Mohan. Le prologue est tout aussi efficace pour mettre dans l'ambiance, puis on a l'arrivée de la jeune américaine à Rome avec en filigrane le contexte géo-politique des Années de Plomb. La reconstitution d'époque (on est en 1971) est impressionnante, voitures, costumes, décors ajoutés à la photographie aux tons chauds font qu'on pourrait croire à un film contemporain des seventies. Entre l'arrivée à Rome, puis au couvent, la soeur un peu mystérieuse, l'accouchement ou le premier drame on se dit que le scénario est beaucoup trop similaire au film ""Immaculée"" (2024) dont on ne cesse d'avoir en tête. Il y a bien quelques différences, la plus étonnante voir peu plausible est la petite partie discothèque. Niveau genre, on se situe plus dans le thriller horrifique avec de rares jumpscares et quelques passages visuellement plus hideux que gore laissant surtout place à un cauchemar éveillé plutôt qu'à de l'épouvante pure. Le scénario se démarque comme il peut mais il est trop similaire à ""Immaculée"" (2024) et surtout n'a aucun lien tangible avec les premiers films ""La Malédiction"" (1976-1981) exception faite de ce lien final vite fait bien. Site : Selenie.fr"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"0,5",crisane vegeta,"comment peut-on appeler ça un film d'horreur tandis qu'il ce passe strictement rien, un accouchement et une césarienne, il faut arrêter ce genre de film et on n'ose mettre interdit aux de 16 ans, stop à la tromperie. je vous en supplie passer votre chemin, payer pas pour ça."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"4,0",cxssxbxnbxn,"Ne croyez pas toutes les critiques négatives, ce film est une petite bombe ! Bien meilleur que « Immaculée » sorti récemment et visuellement quelle claque ! Les amateurs de films d’horreur ne seront pas déçus !"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"1,5",garnierix,"Désolant ce film, il y a tellement mieux dans ce registre. En sortant de la salle, on se souvient plus de celui de 1976 (dont il est le prequel) que de celui-ci (dont il fait très bien surgir le souvenir à la fin). C'est ainsi : il est des films plutôt ratés qui ne devraient pas l'être du tout (on était très intéressé par savoir comment surgit ce Damien en 1976) ; c'est aussi ainsi qu'on est entre colère et tristesse en sortant !On n'a ni peur, ni surprise. On s'ennuie. Mais oui il y a des scènes chocs (avec explosion musicale avec). On n'est même pas sûr de tout comprendre, faute d'attention dès le début, car en effet on confond un peu les personnages, ça semble confus... Il y a pourtant l'idée que l'antéchrist sauverait l'église de l'invasion de la laïcité (c'est fou, non ?) Malgré l'excellent Bill Nighy (le cardinal) qui la soutient, on n'accroche pas trop. Peut-être que l'idée fait trop 2024 et pas assez 1971, l'époque du film.En revanche, on entend ""Daddy Cool"", quand on est en boîte avec cette Margaret. C'est cool, même si ça date de 1976 et l'époque du film 1971...A.G."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"1,5",Guigui Paul,"A part une photographie assez soignée, pas grand-chose à sauver de cette version féminine de LA MALEDICTION dénuée de l'efficacité du film de Richard Donner et de ses deux premières suites. La réalisatrice s'embourbe dans un récit peu incarné et longuet, exploitant superficiellement le cadre italien et accumulant les effets faciles. Les jump scares éventés et brèves visions satanico oniriques convenues sous influence de Jason Blum et Polanski font regretter amèrement les fameuses scènes choc de la trilogie Damien Thorn d'antan!"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"3,5",sunshine1,"Film assez convenu malgré quelques qualité pour sa première réalisation. Pour commencer j'ai préféré le film immaculé sortie récemment dans le même style pour sa touche artistique qui lorgne du côté de Dario argento . Celui ci est un peu trop Longuet pour se qu'il raconte, le film est interdit au moins de 16 ans du a un accouchement qui dure a peine 1 min du coup je m'attendais a une intrusion vraiment horrible mais je n'ai pas était réellement choqué par la chose ( suis-je insensible ?! ) , quelques plans très personnel et pertinent concernant les visions horrifiques ainsi que les années 80 bien retranscrit avec une fin qu'on connait tous si forcément on a Vu l'original. Rien de neuf dans la mise en scène mais qui fait strictement son job ."
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"4,0",Alolfer,"Une surprise inattendue ! J'aurais jamais pensé que ce prequel soit aussi bon que son premier opus. Voilà l'exemple parfait et la preuve, que l'on peut faire, encore, des bons films d'horreurs ! Egalement, la réalisatrice a totalement compris ce qu'il fallait mais également, une histoire cohérente de A à Z. Je suis vraiment surpris ! Ce film possède une vraie patte artistique, se rapprochant par moment, du premier opus. Épaté par sa mise en scène, ses lumières etc... Techniquement, c'est irréprochable ! Il y a une volonté de créer autre chose, ainsi que de briser les codes des films d'horreurs de maintenant. Autre chose, certaines scènes sont vraiment marquantes ! Cela faisait longtemps qu'un film d'horreur ne m'avait pas autant marqué ! De plus l'interprétation de Nell Tiger Free dans le rôle principale, est à souligner ! Elle est phénoménale !Bref, allez le voir car on tient un des meilleurs films d'horreurs depuis bien longtemps"
,https://www.allocine.fr/film/fichefilm-229955/critiques/spectateurs/?page=1,"1,5",Arno M.,"En 1971, Margaret, une jeune Américaine, est envoyée à Rome pour entrer au service de l'Église et se se retrouve bientôt confrontée à des forces obscuresUn film d'horreur comme il en sort une dizaine par an. Pas grand chose d'original... Une première heure où il ne se passe rien, une seconde qui part dans tous les sens."
